Year,Close
1971,117.84749990322581
1972,109.04785424696357
1973,99.09441775100402
1974,101.42000022088352
1975,98.5204418313253
1976,105.65738091269841
1977,103.3864
1978,92.414520028
1979,88.08244966666666
1980,87.38322710358565
1981,103.37537835856574
1982,116.5546615378486
1983,125.32243029880478
1984,138.27939710441768
1985,143.00996052380953
1986,112.12513396551724
1987,96.80348654022988
1988,92.67363988122605
1989,98.46438466923077
1990,88.9380076743295
1991,89.68800755172414
1992,86.50904608778626
1993,93.04735644061303
1994,91.17611528461538
1995,84.14092353076923
1996,87.22175572137404
1997,96.23053661302681
1998,98.70245199616859
1999,99.90891882625482
2000,109.63535149609375
2001,114.99940706324111
2002,111.00299636575876
2003,95.68279552362205
2004,87.35320450193049
2005,87.1624704627451
2006,86.58440464285715
2007,80.87853157539682
2008,76.79731224110672
2009,80.5805555595238
2010,81.20349213095238
2011,76.48472221031746
2012,80.57128019999999
2013,81.43658716269842
2014,82.58591274999999
2015,96.31873025793651
2016,96.85832657768924
2017,96.56952203187251
2018,93.57972139840638
2019,97.4012698015873
2020,95.80924921343873
2021,92.51079348809523
2022,104.04948210756973
2023,103.446399828
2024,103.62984925757576
